domain	property	range	count
Q1800833	P5749	external-id	1
Q2073093	P5749	external-id	1
Q2565300	P5749	external-id	1
Q2712714	P5749	external-id	1
Q430525	P5749	external-id	1
Q482994	P577	time	60723
Q169930	P577	time	71
Q10590726	P577	time	56
Q134556	P577	time	33
Q11424	P577	time	26
Q394970	P577	time	21
Q1997853	P577	time	16
Q5151485	P577	time	12
Q430525	P577	time	9
Q1261214	P577	time	7
Q15116915	P577	time	7
Q368281	P577	time	7
Q105543609	P577	time	5
Q215380	P577	time	4
Q4274081	P577	time	4
Q182832	P577	time	3
Q2031291	P577	time	3
Q2073093	P577	time	3
Q5398426	P577	time	3
Q7366	P577	time	3
Q105420	P577	time	2
Q1173065	P577	time	2
Q1295240	P577	time	2
Q17518461	P577	time	2
Q208569	P577	time	2
Q220935	P577	time	2
Q2619673	P577	time	2
Q107391427	P577	time	1
Q131765	P577	time	1
Q149757	P577	time	1
Q1573906	P577	time	1
Q1800833	P577	time	1
Q21997607	P577	time	1
Q24862	P577	time	1
Q2565300	P577	time	1
Q2707384	P577	time	1
Q2712714	P577	time	1
Q273057	P577	time	1
Q2831984	P577	time	1
Q28813620	P577	time	1
Q30592710	P577	time	1
Q3331189	P577	time	1
Q34508	P577	time	1
Q47461344	P577	time	1
Q506240	P577	time	1
Q559618	P577	time	1
Q57976524	P577	time	1
Q581714	P577	time	1
Q59557805	P577	time	1
Q717040	P577	time	1
Q7725634	P577	time	1
Q838948	P577	time	1
Q98645843	P577	time	1
Q11424	P5786	external-id	1
Q482994	P5786	external-id	1
Q482994	P580	time	24
Q182832	P580	time	2
Q5398426	P580	time	2
Q47461344	P580	time	1
Q482994	P5813	external-id	9
Q1368086	P5813	external-id	1
Q178588	P5813	external-id	1
Q193395	P5813	external-id	1
Q2031291	P5813	external-id	1
Q234870	P5813	external-id	1
Q482994	P582	time	18
Q182832	P582	time	2
Q5398426	P582	time	2
Q1850936	P5829	external-id	1
Q482994	P5829	external-id	1
Q215380	P5882	external-id	2
Q482994	P5882	external-id	2
Q482994	P5987	external-id	1
Q482994	P6127	external-id	32
Q11424	P6127	external-id	16
Q1261214	P6127	external-id	5
Q15116915	P6127	external-id	5
Q10590726	P6127	external-id	4
Q1850936	P6127	external-id	1
Q24862	P6127	external-id	1
Q430525	P6127	external-id	1
Q506240	P6127	external-id	1
Q482994	P6217	external-id	221
Q169930	P6217	external-id	1
Q482994	P625	globe-coordinate	7
Q482994	P6262	external-id	47
Q10590726	P6262	external-id	1
Q11424	P6262	external-id	1
Q482994	P6351	external-id	1
Q482994	P6360	external-id	10
Q482994	P6398	external-id	29
Q11424	P6398	external-id	10
Q10590726	P6398	external-id	5
Q1261214	P6398	external-id	3
Q15116915	P6398	external-id	3
Q430525	P6398	external-id	2
Q24862	P6398	external-id	1
Q482994	P6445	external-id	2
Q482994	P646	external-id	59757
Q169930	P646	external-id	69
Q10590726	P646	external-id	63
Q134556	P646	external-id	34
Q11424	P646	external-id	26
Q394970	P646	external-id	21
Q1997853	P646	external-id	17
Q5151485	P646	external-id	13
Q15116915	P646	external-id	9
Q430525	P646	external-id	9
Q1261214	P646	external-id	8
Q368281	P646	external-id	7
Q59557805	P646	external-id	7
Q105543609	P646	external-id	5
Q215380	P646	external-id	5
Q4274081	P646	external-id	4
Q182832	P646	external-id	3
Q2073093	P646	external-id	3
Q30592710	P646	external-id	3
Q5398426	P646	external-id	3
Q7366	P646	external-id	3
Q105420	P646	external-id	2
Q1173065	P646	external-id	2
Q1295240	P646	external-id	2
Q1850936	P646	external-id	2
Q2031291	P646	external-id	2
Q220935	P646	external-id	2
Q2619673	P646	external-id	2
Q47461344	P646	external-id	2
Q107391427	P646	external-id	1
Q131765	P646	external-id	1
Q1368086	P646	external-id	1
Q149757	P646	external-id	1
Q1573906	P646	external-id	1
Q17518461	P646	external-id	1
Q178588	P646	external-id	1
Q1800833	P646	external-id	1
Q193395	P646	external-id	1
Q208569	P646	external-id	1
Q21997607	P646	external-id	1
Q234870	P646	external-id	1
Q24862	P646	external-id	1
Q2565300	P646	external-id	1
Q2707384	P646	external-id	1
Q2712714	P646	external-id	1
Q2831984	P646	external-id	1
Q28813620	P646	external-id	1
Q3331189	P646	external-id	1
Q34508	P646	external-id	1
Q506240	P646	external-id	1
Q558325	P646	external-id	1
Q559618	P646	external-id	1
Q57976524	P646	external-id	1
Q581714	P646	external-id	1
Q717040	P646	external-id	1
Q7725634	P646	external-id	1
Q482994	P6461	external-id	3
Q482994	P648	external-id	2
Q482994	P6500	url	1
Q482994	P6760	external-id	3
Q482994	P6802	commonsMedia	6
Q482994	P683	external-id	1
Q482994	P6839	external-id	24
Q482994	P691	external-id	16
Q215380	P691	external-id	1
Q482994	P7055	external-id	42
Q3331189	P7055	external-id	1
Q482994	P7067	external-id	108
Q482994	P7091	external-id	3
Q215380	P7109	external-id	1
Q482994	P7109	external-id	1
Q482994	P7143	external-id	26
Q482994	P7175	external-id	2
Q482994	P7194	external-id	2
Q482994	P7212	external-id	19
Q215380	P7212	external-id	1
Q482994	P724	external-id	1
Q482994	P7274	external-id	33
Q11424	P7334	external-id	2
Q482994	P7334	external-id	2
Q1261214	P7334	external-id	1
Q15116915	P7334	external-id	1
Q482994	P7418	commonsMedia	1
Q482994	P7704	external-id	10
Q11424	P7760	external-id	1
Q1261214	P7760	external-id	1
Q15116915	P7760	external-id	1
Q482994	P7760	external-id	1
Q482994	P7818	external-id	3
Q482994	P7859	external-id	5
Q215380	P7859	external-id	1
Q11424	P7970	external-id	1
Q1261214	P7970	external-id	1
Q15116915	P7970	external-id	1
Q482994	P7970	external-id	1
Q24862	P7975	external-id	1
Q482994	P7975	external-id	1
Q11424	P8033	external-id	1
Q482994	P8033	external-id	1
Q482994	P8179	external-id	1
Q482994	P8189	external-id	4
Q482994	P827	external-id	1
Q5398426	P827	external-id	1
Q482994	P8294	external-id	4
Q11424	P8298	external-id	2
Q1261214	P8298	external-id	2
Q15116915	P8298	external-id	2
Q482994	P8298	external-id	2
Q482994	P8309	external-id	1
Q482994	P8313	external-id	13
Q482994	P8392	external-id	362
Q2031291	P8392	external-id	2
Q10590726	P8392	external-id	1
Q482994	P8408	external-id	11
Q482994	P8419	external-id	1
Q482994	P8435	external-id	107
Q482994	P856	url	826
Q11424	P856	url	3
Q10590726	P856	url	2
Q169930	P856	url	2
Q215380	P856	url	2
Q105543609	P856	url	1
Q17518461	P856	url	1
Q2712714	P856	url	1
Q430525	P856	url	1
Q482994	P8663	external-id	41
Q482994	P8680	external-id	3
Q482994	P8687	quantity	29
Q482994	P8813	external-id	1
Q482994	P8856	external-id	872
Q10590726	P8856	external-id	7
Q1997853	P8856	external-id	7
Q134556	P8856	external-id	1
Q2565300	P8856	external-id	1
Q394970	P8856	external-id	1
Q430525	P8856	external-id	1
Q482994	P8885	external-id	1
Q11424	P8958	external-id	1
Q482994	P8958	external-id	1
Q482994	P905	external-id	4
Q11424	P905	external-id	3
Q430525	P905	external-id	1
Q482994	P9068	external-id	4
Q482994	P935	string	3
Q1368086	P935	string	1
Q178588	P935	string	1
Q193395	P935	string	1
Q234870	P935	string	1
Q482994	P949	external-id	2
Q482994	P950	external-id	1
Q482994	P957	external-id	2
Q10590726	P957	external-id	1
Q11424	P9586	external-id	3
Q482994	P9586	external-id	3
Q1261214	P9586	external-id	1
Q15116915	P9586	external-id	1
Q482994	P963	url	1
Q482994	P966	external-id	4
Q482994	P973	url	17
Q2073093	P973	url	1
Q430525	P973	url	1
Q482994	P9767	monolingualtext	1
Q482994	P989	commonsMedia	5
Q482994	P9965	external-id	10
